0,0,null,null,dissolving
0,7,null,null,dissolving
0,13,null,null,dissolving
0,14,null,null,dissolving
0,24,null,null,dissolving
0,28,null,null,dissolving
0,31,null,null,dissolving
0,37,null,null,dissolving
0,40,1,42,continuing
0,41,null,null,dissolving
0,43,null,null,dissolving
0,46,null,null,dissolving
0,48,null,null,dissolving
0,50,1,45,continuing
0,51,null,null,dissolving
0,52,null,null,dissolving
0,54,null,null,dissolving
0,55,null,null,dissolving
0,57,1,62,continuing
0,58,null,null,dissolving
0,59,null,null,dissolving
0,60,1,70,continuing
0,61,null,null,dissolving
0,62,null,null,dissolving
0,63,null,null,dissolving
0,64,null,null,dissolving
0,65,null,null,dissolving
0,66,null,null,dissolving
0,67,null,null,dissolving
0,69,null,null,dissolving
0,70,null,null,dissolving
0,74,1,74,continuing
0,75,1,77,continuing
0,76,1,72,continuing
0,79,null,null,dissolving
null,null,1,4,forming
null,null,1,7,forming
null,null,1,18,forming
null,null,1,21,forming
null,null,1,29,forming
null,null,1,30,forming
null,null,1,31,forming
null,null,1,32,forming
null,null,1,34,forming
null,null,1,35,forming
null,null,1,39,forming
null,null,1,40,forming
null,null,1,41,forming
null,null,1,43,forming
null,null,1,44,forming
null,null,1,46,forming
null,null,1,47,forming
null,null,1,48,forming
null,null,1,49,forming
null,null,1,50,forming
null,null,1,51,forming
null,null,1,52,forming
null,null,1,53,forming
null,null,1,57,forming
null,null,1,58,forming
null,null,1,60,forming
null,null,1,61,forming
null,null,1,63,forming
null,null,1,64,forming
null,null,1,65,forming
null,null,1,66,forming
null,null,1,67,forming
null,null,1,68,forming
null,null,1,69,forming
null,null,1,73,forming
null,null,1,75,forming
null,null,1,76,forming
null,null,1,78,forming
null,null,1,79,forming
null,null,1,80,forming
null,null,1,81,forming
null,null,1,82,forming
null,null,1,83,forming
null,null,1,84,forming
null,null,1,86,forming
null,null,1,87,forming
null,null,1,88,forming
null,null,1,89,forming
null,null,1,90,forming
null,null,1,91,forming
null,null,1,92,forming
null,null,1,93,forming
null,null,1,94,forming
null,null,1,95,forming
null,null,1,96,forming
null,null,1,97,forming
null,null,1,98,forming
null,null,1,99,forming
null,null,1,100,forming
null,null,1,101,forming
0,1,null,null,No_event
0,2,null,null,No_event
0,3,null,null,No_event
0,4,null,null,No_event
0,5,null,null,No_event
0,6,null,null,No_event
0,8,null,null,No_event
